Ref_Interne; Materiel; NumeroSerie; Type; Marque; Quantite; DataAchat; PrixAchat; DateSortie; QuantiteSortie; NatureSortie; QuantiteRestante; DureeUtilisationPrevisionelle; FequenceUtilisation; LieuStockage; nom; 
BRICO_O_241; Localisateur de cable FLUKE 2042; ; ; ; 1; 0001-01-01; 1130; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; LOCALISATEURDECABLE1; 
BRICO_O_242; Taraud + Filieres + Forets de M3 a M12 (pas de pas imperial) TIVOLY MTF30; ; ; ; 1; 2013-01-30; 297.8; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; TARAUDFILIERE1; 
BRICO_O_243; Perforateur SDS+ BOSCH GBH 2-26 RE 800Watt; 202000506; GBH 2-26 RE; BOSCH; 1; 0001-01-01; 166; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; PERFOR008; 
BRICO_O_244; Perforateur SDS+ BOSCH GBH 2-26 RE 800Watt; 202000509; GBH 2-26 RE; BOSCH; 1; 0001-01-01; 166; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; PERFOR009; 
BRICO_O_245; nilfisk alto poseidon 3-30 XT; 301002201; Poseidon 3-30XT; NILFISK; 1; 0001-01-01; 800; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; NETTHP004; 
BRICO_O_246; pulverisateur MULTIREX portee 10m; ; ; ; 1; 2013-01-31; 149.5; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; PULVERISATEUR001; 
BRICO_O_247; Pince PER/Multicouche VIPER l10 + 6 Inserts de type TH de diametre 14, 15, 16, 17, 18 et 20 3 Inserts de type U de diametre 16, 18 et 20. Calibreur / Ebavureur VIRAX 2212 16x2 - 20x2 - 26x3 - 32x3; ; ; ; 1; 2013-06-30; 1239.2; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; PINCEPER001; 
BRICO_O_248; Thermo furet - pemetttant de passer des gaine de cable sans faire de rainure dans du placo avec polystyrene.; ; ; ; 1; 2013-01-31; 1130.45; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; THERMOFURET001; 
BRICO_O_249; Nettoyeur vapeur Alto steamtec 51H; 303000406; Steamtech 51H; NILFISK; 1; 2013-01-30; 450.35; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; NETTVA002; 
BRICO_O_254; ETAI 1.6m - 2.4m ALTRAD EAP04; ; ; ; 1; 2011-02-03; 23.74; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; ETAI001; 
BRICO_O_255; ETAI 1.6m - 2.4m ALTRAD EAP04; ; ; ; 1; 2011-02-03; 23.74; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; ETAI002; 
BRICO_O_256; ETAI 1.6m - 2.4m ALTRAD EAP04; ; ; ; 1; 2011-02-03; 23.74; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; ETAI003; 
BRICO_O_257; ETAI 1.6m - 2.4m ALTRAD EAP04; ; ; ; 1; 2011-02-03; 23.74; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; ETAI004; 
BRICO_O_259; Sonometre DIGITAL INSTRUMENT SL 801 30 a 130 dBA 35 a 130 dBC; ; ; ; 1; 0000-00-00; 115; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; SONOMETRE1; 
BRICO_O_260; rallonge jardinage sur enrouleur 40m; NA; ; ; 1; 2013-04-30; 82.29; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; ENROULJAR1; 
BRICO_O_261; rallonge jardinage sur enrouleur 40m; ; ; ; 1; 2013-04-30; 82.29; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; ENROULJAR2; 
BRICO_O_262; rallonge jardinage sur enrouleur 40m; ; ; ; 1; 2013-04-30; 82.29; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; ENROULJAR3; 
BRICO_O_263; Palan manuel 2T; ; ; ; 1; 2011-02-03; 357.6; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; PALAN1; 
